,0
168,1101.3739437332276
169,2349.1308087064785
170,1798.6318619334675
171,2569.017645071632
172,891.2204068120507
173,2327.9828278562422
174,974.1722364789229
175,1504.7188632831792
176,2651.9006406450726
177,2099.332516733137
178,2510.536287578315
179,1888.2180936210164
180,1897.0622090451009
181,2813.0252723490426
182,782.7599985812464
183,2509.4213113432297
184,1921.0153934854345
185,2617.1933763621923
186,2945.548177672564
187,953.6942885827727
188,2721.5412190896805
189,713.9852745162356
190,1272.3889288331122
191,2912.3770263354154
192,637.0930357083755
193,1023.7214725995333
194,2740.738704783842
195,1238.6216538487313
196,1646.4852037064654
197,896.6825244714815
198,1579.353555298819
199,1628.2265576751495
200,2905.5533487876874
201,1395.4595410824477
202,2965.487324957
203,1350.8444081113767
204,468.8321520889091
205,1922.9413300593167
206,1798.8547546891127
207,2442.2167136253784
208,1796.9536519496505
209,2497.2237217465026
210,1731.6121559853693
211,2550.795661341773
212,1603.6511858041217
213,1645.4641208909059
214,1627.0186753356165
215,2402.684512023145
216,1474.7799544487116
217,698.7577358580476
218,2077.958775417893
219,2714.754923839779
220,543.0482671583436
221,860.7208277833206
222,1289.326429763706
223,567.8759350702013
224,2330.549074327487
225,2301.1859900013137
226,1488.1941755606795
227,2798.2578678155605
228,2721.5116394808347
229,2481.9917621528816
230,2035.3667071732812
231,2881.6127266219737
232,2330.5529985882163
233,2597.8939598850607
234,1537.4398268347836
235,2826.2095975589336
236,2401.632563298293
237,1588.467905754602
238,2632.8978292942516
239,552.8351054605846
240,1304.2525494854767
241,1759.0128779198267
242,2491.295250440628
243,2507.584965733845
244,1204.8337052016088
245,1733.4593436819077
246,1406.2991220212657
247,896.0511312462113
248,545.5572539341554
249,1674.9548871309582
250,2124.40134760613
251,2181.425577491584
252,2440.3038502447416
253,2248.2739705482377
254,1431.5120191585152
255,575.3147543055122
256,1686.0528998663208
257,1300.299723168969
258,192.4494626170928
259,2753.3778289940947
260,1894.379998325186
261,2538.413841906597
262,1584.726802094411
263,473.3597296798058
264,945.2881404820698
265,2043.505389937585
266,2780.9488059789564
267,1924.8391698641801
268,2749.1453864030887
269,2679.3312222038585
270,903.597129244185
271,665.9706297610666
272,2053.7244696133243
273,2327.534109248777
274,1732.2456869120192
275,2425.5870763983357
276,2913.9901289789377
277,635.532870691615
278,1513.2440761215473
279,445.1284037326851
280,1093.2240060642396
281,393.38122535861635
282,2309.5502135134225
283,1811.3954658314303
284,2170.5659467794003
285,1628.6891723924289
286,209.23001611170145
287,742.7446809374617
288,1454.079845775573
289,639.5375799083895
290,2503.6684926976513
291,186.28487189016886
292,1082.3509251857454
293,1587.8035896866077
294,1433.2460901833042
295,836.1213552608741
296,2862.3630814786343
297,1968.6037033102048
298,506.4087394595412
299,2882.1094445850927
300,283.2632286818561
301,2103.630172122275
302,2962.0862501820684
303,2098.1470816473684
304,1628.7047950179895
305,652.9690698580648
306,1771.9653269163055
307,2250.038841859725
308,431.9971639020159
309,2426.9587725603833
310,1898.2126310203807
311,342.729040766502
312,2424.2153128870013
313,1879.7551011251041
314,2482.8268811599905
315,719.7816568009322
316,1060.1991632372474
317,2751.715286957302
318,2821.4446352687
319,2919.0918888747665
320,215.17987941882453
321,1370.4559819477188
322,2888.2972391350177
323,2028.4523937546446
324,1486.3255228781388
325,560.0143543070104
326,1591.361685842251
327,2361.37572417866
328,1809.485012773066
329,1289.026598121769
330,2999.614160917551
331,520.2471838218731
332,2625.929054635003
333,654.2052093794848
334,908.2260967956607
335,2662.4663990899176
336,993.6731322842916
337,748.6702120611025
338,817.9554330266405
339,2892.304591195911
340,2838.731238763488
341,2243.557667735632
342,1725.894978101976
343,2958.034817263258
344,2013.9091157636262
345,1526.7759626524896
346,2618.5389750624718
347,1881.7119959870276
348,1614.3244379847592
349,2023.640852330392
350,887.3278034425422
351,388.8577576616361
352,2184.9241670963256
353,1634.320309721343
354,1443.5702089126648
355,2607.4767741653936
356,2544.9988576067094
357,978.1476177488448
358,1425.2716454493145
359,2120.578114292917
360,1736.3681075569707
361,2254.018674274799
362,332.9846219933668
363,2247.2556128228166
364,889.4031637771574
365,514.8270419813614
366,1143.674730023713
367,2005.591449241363
368,1715.8488090283868
369,200.26132047175918
370,1203.4598443360303
371,605.4994877846711
372,1951.8380588013563
373,848.7473356198999
374,846.4096498907833
375,1970.7009469991979
376,1208.0354171307044
377,2143.907182627686
378,1370.2313997600957
379,1355.1069072266444
380,1218.6014229763207
381,1651.753527401295
382,2929.0766403473817
383,1221.9597167893307
384,302.3290970518381
385,627.6099330657684
386,1254.1399646488817
387,2612.811253011836
388,1271.1300031195017
389,2502.2884390129025
390,915.7358365097784
391,2217.504278611127
392,646.9063220510251
393,2569.7473172307164
394,1993.8075674863996
395,1612.0792368788937
396,2979.6796237197436
397,2018.2359371243886
398,2950.394544099648
399,1941.019388076159
400,2837.476056945731
401,2118.1675980821556
402,1702.4095541394981
403,1210.335112250872
404,1285.42409366999
405,1381.1368381735006
406,594.1398433925631
407,1673.5337740296786
408,2993.7709122407455
409,2054.7322486018134
410,256.63940731085523
411,877.9064967511101
412,2582.4925316096997
413,1799.4399078033389
414,456.76971912742715
415,1613.5400797919472
416,768.5812144434046
417,2829.7981242348037
418,2077.910999333383
419,1603.1131441229047
420,2225.636794921659
421,1603.8884272781133
422,1206.0523600778065
423,2038.49806600905
424,950.5014505780398
425,2009.418480054755
426,2431.4606625458305
427,2429.459707568461
428,806.9769385460195
429,1491.6232263727954
430,2776.2539731257752
431,556.512511459008
432,671.1885602771945
433,576.3936946691327
434,213.12712899965337
435,1010.2992600966663
436,1412.9790596297676
437,2908.574928938517
438,909.3641844181668
439,2693.5898833863953
440,1560.2179230169313
441,823.2716742823592
442,1194.6762338413162
443,2197.976978701967
444,1190.3732058120725
445,1370.5818268913197
446,1347.8167301724561
447,1972.8441531733276
448,2727.6858826835073
449,161.5995961135897
450,1734.6989259209322
451,2632.6174411718976
452,530.8529729960005
453,249.41904351445103
454,2881.2993356820366
455,2415.7467284229856
456,2302.8372894943664
457,358.9784163351447
458,1771.7494993834123
459,1789.6451288450114
460,766.554037892937
461,2561.2153302055403
462,1893.003762333666
463,2242.441275265011
464,2867.278150641674
465,1873.9089638104817
466,2335.741732168633
467,810.6104332184595
468,677.4546670569783
469,521.3503251459098
470,1673.9503287929087
471,555.0060492518149
472,808.7737002863702
473,1801.9731071869903
474,2307.790485870524
475,2865.9495493806558
476,2645.1581188460486
477,2346.049181165846
478,2015.0195275110384
479,2079.4319962265713
480,1826.1498839486828
481,153.11173449408122
482,2387.916041118429
483,1194.7112439210164
484,2418.597286995144
485,2966.0145069876635
486,1104.0515912258018
487,2805.868392771957
488,2348.4719224683886
489,931.2315923417549
490,1038.7390047542528
491,2579.343015765206
492,558.5462340304534
493,2437.2037179376257
494,803.1379059707577
